id,handle,title,productType,old_quality_score,old_desc_len,price,new_len
9269992685818,nexxt-home-smart-a19-cct-bulb,Nexxt Home Smart A19 CCT Bulb,Electronics & Accessories,10,42,14.09,727
9269992718586,nexxt-home-smart-br30-cct-bulb,Nexxt Home Smart BR30 CCT Bulb,Electronics & Accessories,10,43,19.73,728
9269992816890,nexxt-home-smart-a19-cct-bulb-4-pk,Nexxt Home Smart A19 CCT Bulb 4 PK,Electronics & Accessories,10,42,47.93,732
9269993210106,nexxt-home-smart-gu10-cct-bulb,Nexxt Home Smart GU10 CCT Bulb,Electronics & Accessories,10,43,16.91,728
9269993242874,nexxt-home-smart-br30-cct-bulb-4pk,Nexxt Home Smart BR30 CCT Bulb 4PK,Electronics & Accessories,10,43,66.27,732
9269993275642,nexxt-home-smart-br30-rgb-bulb,Nexxt Home Smart BR30 RGB Bulb,Electronics & Accessories,10,43,22.55,718
9269993308410,nexxt-home-smart-br30-cct-bulb-2pk,Nexxt Home Smart BR30 CCT Bulb 2PK,Electronics & Accessories,10,43,35.24,732
9269993341178,nexxt-home-smart-gu10-cct-bulb-3pk,Nexxt Home Smart GU10 CCT Bulb 3PK,Electronics & Accessories,10,43,39.47,732
9269993668858,nexxt-home-smart-par38-cct-bulb,Nexxt Home Smart PAR38 CCT Bulb,Electronics & Accessories,10,44,25.37,729
9269998715130,blankets,Baby Blankets Instock,Baby & Nursery,10,42,20.63,697
9270002909434,beige-bag-set,Beige Bag Set,Apparel & Accessories,10,29,165.04,672
9270006710522,koru-design-bag-set,Midnight Koru Design Bag Set,Apparel & Accessories,10,24,165.04,718
9270006776058,koru-design-bag-set-1,Kura Sand Design Bag Set Less Than 2 sets left,Apparel & Accessories,10,37,247.55,736
9270007660794,pink-design-bag-set-preorder-1,Pink Design Bag Set,Apparel & Accessories,10,37,247.55,709
9257724051706,115-in-1-bit-screwdriver-set,115-in-1 Bit Screwdriver Set,Tools & Home Improvement,30,199,19.48,734
9257724117242,120w-retractable-car-charger,120W Retractable Car Charger,Automotive,30,195,46.01,717
9257724248314,leather-furniture-salve-set,120ml Leather Furniture Salve Set,Tools & Home Improvement,30,194,27.88,736
9257724379386,14-inch-magnetic-knife-and-tools-holder,14 Inch Magnetic Knife And Tools Holder,Home & Kitchen,30,196,39.01,699
9257726247162,2-in-1-hair-styler-straightener-curling-iron,2-in-1 Flat Iron and Hair Curler Styler,Beauty & Grooming,30,194,18.06,747
9257727721722,2l-food-chopper,2L Food Chopper,Home & Kitchen,30,193,43.2,719
9257728147706,3-of-them-unisex-heated-gloves,3 Pairs Of Heated Gloves,Apparel & Accessories,30,157,202.2,715
9257728180474,3-in-1-wireless-fast-charger-stand-for-iphone-watch-and-airpod,3 IN 1 Wireless Fast Charger Stand For iphone Watch And Airpod,Electronics & Accessories,30,179,41.8,783
9257728213242,3-pack-fish-tank-cleaner-liquid,3 Pack Fish Tank Cleaner Liquid,Pet Supplies,30,151,26.46,749
9257728246010,3-in-1-travel-charger,3 In 1 Travel Charger,Apparel & Accessories,30,179,83.67,685
9257728278778,3-in-1-screen-cleaner-spray-touchscreen-mist-cleaner,3 In 1 Screen Cleaner Spray Touchscreen Mist Cleaner,Electronics & Accessories,30,151,27.85,762
9257728475386,3-pairs-of-unisex-heated-socks,3 Pairs Of Unisex Heated Socks,Apparel & Accessories,30,157,202.2,741
9257728508154,3-set-dog-oral-repair-gel,3 Set Dog Oral Repair Gel,Pet Supplies,30,169,13.91,730
9257728540922,3-set-giant-jelly-balloon-ball,3 Set Giant Jelly Balloon Ball,Toys & Games,30,151,36.22,723
9257728573690,3-piece-comfortable-chic-dress-set,3 Piece - Comfortable Chic Dress Set,Apparel & Accessories,30,157,118.54,692
9257728606458,3-step-portable-dog-stairs-for-tall-bed,3 Step Portable Dog Stairs For Tall Bed,Pet Supplies,30,169,55.78,756
9257728770298,3-in-1-caulk-remover-the-1-silicone-caulking-tool,3-in-1 Caulk Remover - The #1 silicone caulking tool,Tools & Home Improvement,30,159,20.85,758
9257728803066,3-in-1-active-play-toy-for-kids,3-in-1 Active Play Toy for Kids,Toys & Games,30,147,75.25,733
9257728835834,3-in-1-apple-charger-dock,3-in-1 Apple Charger Dock,Electronics & Accessories,30,179,104.59,765
9257728868602,3-in-1-charger,3-In-1 Charger,Electronics & Accessories,30,179,69.67,744
9257729097978,3-in-1-dog-hair-dryer-and-grooming-brush,"3-in-1 Dog Hair Dryer, Slicker Brush & Grooming Tool",Pet Supplies,30,169,44.62,800
9257729130746,3-in-1-function-bluetooth-beanie,3-in-1 Bluetooth Beanie with Built-in Headphones and LED Headlamp,Apparel & Accessories,30,179,27.84,767
9257729163514,3-in-1-ear-cleaning-endoscope,3-in-1 Ear Cleaning Endoscope with HD Camera & LED Light,Health & Wellness,30,179,20.91,740
9257729229050,3-in-1-infrared-laser-tape,3-in-1 Infrared Laser Tape Measure with Digital Display and Traditional Tape,Tools & Home Improvement,30,147,55.72,796
9257729491194,3-in-1-outdoor-sand-and-water-table-for-kids,3-in-1 Kids Outdoor Sand and Water Play Table with Separate Compartments,Toys & Games,30,166,144.98,749
9257729523962,3-in-1-laser-tape-measure-40-60m-meters-infrared,3-in-1 Laser Tape Measure with Infrared Distance Meter - 40M / 60M Range,Tools & Home Improvement,30,151,48.8,799
9257729556730,3-in-1-mobile-air-conditioner,3-in-1 Portable Air Conditioner with Fan and Dehumidifier Modes,Home & Kitchen,30,151,69.6,783
9257729589498,3-in-1-table-lamp-wireless-charging-alarm-clock-touch-control,"3-in-1 LED Table Lamp with Wireless Charging, Digital Alarm Clock &",Home Decor,30,179,139.46,742
9257729818874,3-in-1-waterproof-electric-shaver-for-women,3-in-1 Waterproof Electric Shaver for Women | Cordless Rechargeable,Beauty & Grooming,30,157,50.2,756
9257729851642,3-speed-portable-aircon-with-ultrasonic-cooling,3-Speed Portable Mini Air Conditioner with Ultrasonic Cooling,Home & Kitchen,30,151,174.33,758
