title,handle,variantCount,sellableCount,availabilityRate,minMargin,caCoverage,usCoverage,contentReadiness,economicsScore,shippingScore,availabilityScore,simplicityScore,contentScore,totalScore,decision,testOrderPriority,caution,rank
Car Sun Visor Organizer,sun-visor-organizer-clip,3,3,1.0,0.4068882588392261,1.0,1.0,0.9999999999999999,30,25,15.0,15,14.999999999999998,100.0,Featured launch assortment,3 - Strong third test,monitor supplier stock and delivery quotes,1
Everyday Carabiner Clip Set,4pcs-metal-carabiner-clip-keychain-hook-holder-key-ring-organizer-for-car-keys-daily-storage,2,2,1.0,0.41889626417611736,1.0,1.0,0.9999999999999999,30,25,15.0,15,14.999999999999998,100.0,Featured launch assortment,4 - Low-cost control,monitor supplier stock and delivery quotes,2
Travel Pet Water Bottle,travel-pet-water-bottle,3,3,1.0,0.41679614807403703,1.0,1.0,0.9999999999999999,30,25,15.0,15,14.999999999999998,100.0,Featured launch assortment,2 - Strong second test,monitor supplier stock and delivery quotes,3
Adjustable Rhinestone Ring,minimalist-acrylic-rhinestone-open-ring-for-women-korean-fashion-geometry-adjustable-knuckle-ring-party-jewelry-lady-gifts,2,2,1.0,0.38887625083388927,1.0,1.0,0.9999999999999999,28.665150100066715,25,15.0,15,14.999999999999998,98.66515010006671,Featured launch assortment,Later,monitor supplier stock and delivery quotes,4
Compact Bicycle Bell,compact-bicycle-bell,6,6,1.0,0.3688629086057371,1.0,1.0,0.9999999999999999,26.263549032688456,25,15.0,15,14.999999999999998,96.26354903268846,Featured launch assortment,1 - Best first test,monitor supplier stock and delivery quotes,5
Everyday Polarized Sunglasses,nd-dimming-glasses-polarized-sunglasses-men-women-round-retro-punk-driving-eyeglasses-outdoor-shades-uv400-adjustable-eyewear,3,3,1.0,0.3176643881293764,1.0,1.0,0.9999999999999999,20.11972657552517,25,15.0,15,14.999999999999998,90.11972657552516,Featured launch assortment,Later,tightest sellable margin near 30%,6
Everyday Zip Hoodie,zipper-hoodies-autumn-winter-mens-new-long-sleeve-hooded-sweatshirt-fashion-casual-male-outfit-sportwear-loose-fit-clothes,18,17,0.9444444444444444,0.3203734525447041,1.0,1.0,0.9999999999999999,20.444814305364496,25,14.166666666666666,12,14.999999999999998,86.61148097203116,Featured launch assortment,Later,1 variant(s) unavailable,7
Copper Washer Assortment,300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool,4,3,0.75,0.32581648235913624,0.6666666666666666,1.0,0.9999999999999999,21.09797788309635,20.833333333333332,11.25,15,14.999999999999998,83.18131121642968,Launch catalog - secondary,Later,1 variant(s) unavailable,8
Everyday Performance Shorts,clearance_summer-running-shorts-for-men-casual-jogging-sport-short-pants-wave-pattern-solid-color-drawstring-loose-dry-gym-sport,21,21,1.0,0.3361550116550116,1.0,1.0,0.85,22.338601398601394,25,15.0,8,12.75,83.0886013986014,Featured launch assortment,Later,monitor supplier stock and delivery quotes,9
Men's Cotton-Linen Wide-Leg Pants,2025-summer-mens-cotton-and-linen-oversized-wide-leg-pants-mens-artistic-style-elastic-waist-solid-color-casual-loose-pants,100,100,1.0,0.3349060913705582,1.0,1.0,0.9999999999999999,22.188730964466988,25,15.0,3,14.999999999999998,80.18873096446698,Launch catalog - secondary,Later,100-variant operational load,10
