product_gid,product_id,variant_gid,variant_id,product_title,handle,status,online_store_url,created_at,updated_at,vendor,product_type,category,tags,product_options_json,variant_title,selected_options_json,sku,barcode,price,compare_at_price,unit_cost,currency,item_cost_only_headroom_pct,inventory_quantity,inventory_locations,inventory_policy,available_for_sale,inventory_tracked,requires_shipping,taxable,weight_value,weight_unit,origin_country,hs_code,media_count,featured_image_url,featured_image_alt,featured_image_width,featured_image_height,dsers_mapping_evidence,candidate_status,risk_flags,explicit_unknowns
gid://shopify/Product/9351137394938,9351137394938,gid://shopify/ProductVariant/49985110016250,49985110016250,Trustfire GM23 Tactical Flashlight — 800 Lumen LED Mini Light,trustfire-gm23-tactical-flashlight-800-lumen-led-mini-light,ACTIVE,https://checkout.puchica.ca/products/trustfire-gm23-tactical-flashlight-800-lumen-led-mini-light,2026-08-05T09:23:52Z,2026-08-07T07:36:05Z,Puchica,Power Tools,Hardware > Tools > Flashlights & Headlamps > Flashlights > Handheld Torches,puchica-collection-electronics | puchica-launch-ready | wave3,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCHICA-1005007802174688,,77.53,116.30,31.01,CAD,60.00,999,woodland:0 | DropCommerceV2:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/Sb6e774317ae842ffb43ce4a176269740Q_jpg_960x960q75_jpg.avif?v=1785990947,,960,960,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | brand/trademark authorization unknown | electrical/battery compliance and warranty risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351188906234,9351188906234,gid://shopify/ProductVariant/49985180074234,49985180074234,"Ultra Thin Smart Watch Men 1.96"" AMOLED HD Display — Bluetooth Call",ultra-thin-smart-watch-men-1-96-amoled-hd-display-bluetooth-call,ACTIVE,https://checkout.puchica.ca/products/ultra-thin-smart-watch-men-1-96-amoled-hd-display-bluetooth-call,2026-08-05T09:40:08Z,2026-08-07T07:36:04Z,Puchica,Smart Home,,2026-08-05 | 4000-sold | ae-sourcing | high-ticket | puchica-collection-electronics | puchica-launch-ready | wave3,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005008584203545,,96.25,144.38,38.5,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/1005008584203545.avif?v=1785922848,PUCHICA Ultra Thin Smart Watch Men 1.96 inch AMOLED HD Display - Bluetooth Call,480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | electrical/battery compliance and warranty risk | health/performance claims need substantiation | elevated safety/returns/support risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351188611322,9351188611322,gid://shopify/ProductVariant/49985179779322,49985179779322,Baseus Bass EP10 NC -43dB Active Noise Cancelling Wireless Earbuds,baseus-bass-ep10-nc-43db-active-noise-cancelling-wireless-earbuds,ACTIVE,https://checkout.puchica.ca/products/baseus-bass-ep10-nc-43db-active-noise-cancelling-wireless-earbuds,2026-08-05T09:40:04Z,2026-08-07T07:36:04Z,Puchica,Audio Electronics,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,10000-sold | 2026-08-05 | ae-sourcing | high-ticket | puchica-collection-electronics | puchica-launch-ready | wave3,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005010579452804,,170.00,255.00,68.0,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,2,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/Sa802af2e290b4ffdb151cacc25733ef8x.avif?v=1785991480,,800,800,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | brand/trademark authorization unknown | electrical/battery compliance and warranty risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351188709626,9351188709626,gid://shopify/ProductVariant/49985179877626,49985179877626,Professional Japanese Kitchen Knives Set — Stainless Steel 6-Piece,professional-japanese-kitchen-knives-set-stainless-steel-6-piece,ACTIVE,https://checkout.puchica.ca/products/professional-japanese-kitchen-knives-set-stainless-steel-6-piece,2026-08-05T09:40:05Z,2026-08-07T07:36:03Z,Puchica,Kitchen Appliances,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Knives > Knife Sets,10000-sold | 2026-08-05 | ae-sourcing | high-ticket | puchica-collection-home-lifestyle | puchica-launch-ready | wave4,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005007678160205,,100.20,150.30,40.08,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/1005007678160205.avif?v=1785922842,PUCHICA Professional Japanese Kitchen Knives Set - Stainless Steel 6-Piece,480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | elevated safety/returns/support risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351137427706,9351137427706,gid://shopify/ProductVariant/49985110049018,49985110049018,Double Hammock Canvas — 2 Person Outdoor Hammock with Tree Straps,double-hammock-canvas-2-person-outdoor-hammock-with-tree-straps,ACTIVE,https://checkout.puchica.ca/products/double-hammock-canvas-2-person-outdoor-hammock-with-tree-straps,2026-08-05T09:23:53Z,2026-08-07T07:36:03Z,Puchica,Outdoor Recreation,,puchica-collection-outdoor-travel | puchica-launch-ready | wave6,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCHICA-1005005992123598,,72.95,109.43,29.18,CAD,60.00,999,woodland:0 | DropCommerceV2:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/1005005992123598.jpg?v=1785921848,PUCHICA Double Hammock Canvas - 2 Person Outdoor Hammock with Tree Straps,480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,research-only backup; not low-risk enough for launch cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | elevated safety/returns/support risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351191822586,9351191822586,gid://shopify/ProductVariant/49985186267386,49985186267386,Original Lenovo GM2 Pro TWS Wireless Earbuds (LP40-compatible),original-lenovo-gm2-pro-tws-wireless-earbuds,ACTIVE,https://checkout.puchica.ca/products/original-lenovo-gm2-pro-tws-wireless-earbuds,2026-08-05T09:48:31Z,2026-08-07T07:36:02Z,Puchica,Audio Electronics,,ae-sourced | high-ticket | puchica | puchica-collection-electronics | puchica-launch-ready | trending | wave3 | wireless-earbuds,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCHICA-1005012034871696,,107.80,161.70,43.12,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/cba2c3091b636e2f8fa4b1d3c4e507bd.avif?v=1785923313,PUCHICA Original Lenovo LP40 Pro TWS Wireless Earbuds,480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | unsupported trending tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | brand/trademark authorization unknown | electrical/battery compliance and warranty risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351189004538,9351189004538,gid://shopify/ProductVariant/49985180172538,49985180172538,Wireless Milk Frother — USB Rechargeable 3-Speed Electric Whisk,wireless-milk-frother-usb-rechargeable-3-speed-electric-whisk,ACTIVE,https://checkout.puchica.ca/products/wireless-milk-frother-usb-rechargeable-3-speed-electric-whisk,2026-08-05T09:40:11Z,2026-08-07T07:36:01Z,Puchica,Kitchen Appliances,,2000-sold | 2026-08-05 | ae-sourcing | high-ticket | puchica-collection-health-beauty | puchica-launch-ready | wave5,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005007286327756,,68.97,103.45,27.59,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/1005007286327756.avif?v=1785922852,PUCHICA Wireless Milk Frother - USB Rechargeable 3-Speed Electric Whisk,480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | electrical/battery compliance and warranty risk | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351188873466,9351188873466,gid://shopify/ProductVariant/49985180041466,49985180041466,Oral Irrigator — 3 Cleaning Modes Portable Rechargeable Dental Water Jet,oral-irrigator-3-cleaning-modes-portable-rechargeable-dental-water-jet,ACTIVE,https://checkout.puchica.ca/products/oral-irrigator-3-cleaning-modes-portable-rechargeable-dental-water-jet,2026-08-05T09:40:07Z,2026-08-07T07:36:01Z,Puchica,Personal Care,,2026-08-05 | 5000-sold | ae-sourcing | high-ticket | puchica-collection-health-beauty | puchica-launch-ready | wave5,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005008784354110,,64.88,97.32,25.95,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/1005008784354110.avif?v=1785922847,PUCHICA Oral Irrigator - 3 Cleaning Modes Portable Rechargeable Dental Water Jet,480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | electrical/battery compliance and warranty risk | health/performance claims need substantiation | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351188840698,9351188840698,gid://shopify/ProductVariant/49985180008698,49985180008698,"Solar Air Purifier — Filter-Free Automatic Air Cleaner with USB Charging for Home, Office & Car",solar-air-purifier-automatic-operation-no-filters-needed,ACTIVE,https://checkout.puchica.ca/products/solar-air-purifier-automatic-operation-no-filters-needed,2026-08-05T09:40:07Z,2026-08-07T07:33:45Z,Puchica,Home Appliances,,2026-08-05 | 5000-sold | ae-sourcing | high-ticket | puchica-collection-home-lifestyle | puchica-launch-ready | wave4,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005009716398552,,89.77,134.66,35.91,CAD,60.00,999,woodland:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/1005009716398552.avif?v=1785922845,"PUCHICA Solar Air Purifier - Automatic Operation, No Filters Needed",480,480,supplier-formatted SKU + unit cost only; DSers mapping not proven,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | electrical/battery compliance and warranty risk | health/performance claims need substantiation | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
gid://shopify/Product/9351188742394,9351188742394,gid://shopify/ProductVariant/49985179910394,49985179910394,USB Portable Water Flosser — 200ML Cordless Oral Irrigator with 4 Nozzles for Travel & Home Use,usb-portable-oral-irrigator-water-flosser-200ml-4-nozzles,ACTIVE,https://checkout.puchica.ca/products/usb-portable-oral-irrigator-water-flosser-200ml-4-nozzles,2026-08-05T09:40:06Z,2026-08-07T07:33:43Z,Puchica,Personal Care,Health & Beauty > Personal Care > Oral Care > Dental Water Jets,2026-08-05 | 5000-sold | ae-sourcing | high-ticket | puchica-collection-health-beauty | puchica-launch-ready | wave5,"[{""name"": ""Title"", ""values"": [""Default Title""]}]",Default Title,"[{""name"": ""Title"", ""value"": ""Default Title""}]",PUCH-1005006925084100,,129.65,194.48,51.86,CAD,60.00,999,dsers-fulfillment-service:999,DENY,True,True,True,True,0.0,GRAMS,,,1,https://cdn.shopify.com/s/files/1/0842/2644/1466/files/S2cd9d4f4272348a9b327ff0747616962X.webp?v=1785993007,,800,800,DSers fulfillment location only; exact mapping not independently verified,exclude from low-risk organization/travel cohort,unsupported launch-ready tag | synthetic-looking 1.5x compare-at price | placeholder-like inventory 999 | zero/missing shipping weight | origin country missing | HS code missing | single Default Title variant | title exceeds 60 characters | fewer than 3 product media items | electrical/battery compliance and warranty risk | health/performance claims need substantiation | published to Online Store in Shopify,exact current supplier listing and option mapping | ordinary supplier item price freshness | Canada shipping cost/method/ETA/tracking | US shipping cost/method/ETA/tracking | duties/brokerage treatment | defect/refund reserve | payment-fee and active-discount contribution margin | supplier stock freshness and warehouse origin | product/image usage rights | sample quality and packaging
