record_type,evidence_date,market,currency,item_or_scenario,target_retail_low,target_retail_high,max_landed_low_no_discount,max_landed_low_15pct_discount,max_landed_high_no_discount,max_landed_high_15pct_discount,bundle_list_subtotal,bundle_revenue_after_15pct,free_shipping_threshold,qualifies_if_threshold_uses_discounted_subtotal,max_combined_landed_pool_after_15pct,item_cost_budget_after_8_shipping,item_cost_budget_after_12_shipping,item_cost_budget_after_15_shipping,benchmark_sources,gate
category_gate,2026-08-08,Canada,CAD,Cable clips/ties value pack,8.00,15.00,4.62,3.88,8.93,7.54,,,,,,,,,"https://www.ikea.com/ca/en/p/kalkstuff-cable-holder-set-of-3-white-30573021/ | https://www.ikea.com/ca/en/p/trixig-150-piece-cable-management-set-60563737/","Standalone route must land at or below CAD 7.54 at a CAD 15 ceiling; treat as add-on/bundle component, not paid-ad hero."
category_gate,2026-08-08,Canada,CAD,Multi-piece cable management kit,15.00,25.00,8.93,7.54,15.08,12.77,,,,,,,,,"https://www.ikea.com/ca/en/p/trixig-150-piece-cable-management-set-60563737/ | https://www.ikea.com/ca/en/cat/cable-management-accessories-16195/","Exact item plus tracked shipping and charges must be at or below CAD 12.77; prefer CAD 7.54 for low-band flexibility."
category_gate,2026-08-08,Canada,CAD,Under-desk cable tray or cable box,15.00,35.00,8.93,7.54,21.23,18.00,,,,,,,,,"https://www.ikea.com/ca/en/p/foersaesong-cable-management-tray-white-00573188/ | https://www.staples.ca/products/3116458-en-helix-under-desk-cable-management-tray-black | https://www.staples.ca/products/3116265-en-shoppingall-under-desk-cable-organizer-tray-wire-management-rack-with-10-cable-ties-black-2-pack","Reject above CAD 18.00 all-in at the band high; size/weight and clamp quality must justify the upper half."
category_gate,2026-08-08,Canada,CAD,Compact desktop organizer/caddy/drawers,18.00,35.00,10.77,9.11,21.23,18.00,,,,,,,,,"https://www.ikea.com/ca/en/p/droenjoens-desk-organizer-white-00428827/ | https://www.ikea.com/ca/en/cat/desk-accessories-10573/","Reject above CAD 18.00 all-in; bulky low-value plastic is poor unless shipping is unusually efficient."
category_gate,2026-08-08,Canada,CAD,Monitor stand or desktop shelf with storage,25.00,40.00,15.08,12.77,24.30,20.61,,,,,,,,,"https://www.ikea.com/ca/en/cat/desk-accessories-10573/","Reject above CAD 20.61 all-in; require load/dimension evidence and a landed route that survives the 15% promotion."
category_gate,2026-08-08,Canada,CAD,Conditional rechargeable touch desk lamp,22.00,40.00,13.23,11.20,24.30,20.61,,,,,,,,,"https://www.walmart.ca/en/ip/USB-Rechargeable-LED-Desk-Lamp-3-Level-Dimmable-Touch-Table-Light-for-Bedroom-Bedside/6RIA67SQ0RXD | https://www.staples.ca/products/3166018-en-xtricity-roccabella-portable-led-touch-table-lamp-ivory | https://www.homedepot.ca/product/bostitch-konnect-11-61-inches-black-led-desk-lamp/1001625691","Only a low DSers card option near CAD 18.32 could fit; it leaves CAD 2.29 before shipping at the band high. Electrical/battery evidence is mandatory."
category_gate,2026-08-08,United States,USD,Cable clips/ties value pack,3.00,8.00,1.55,1.27,4.62,3.88,,,,,,,,,"https://www.target.com/p/-/A-94444719 | https://www.target.com/p/-/A-90925740 | https://www.target.com/p/-/A-90023968","Commodity add-on only; reject above USD 3.88 all-in at USD 8 retail."
category_gate,2026-08-08,United States,USD,Multi-piece cable management kit,5.00,15.00,2.78,2.31,8.93,7.54,,,,,,,,,"https://www.target.com/c/office-storage-organization/cable-management/-/N-o333bZ5vgf5","Reject above USD 7.54 all-in at the band high; pack count and adhesive/tie quality must be explicit."
category_gate,2026-08-08,United States,USD,Under-desk cable tray or cable box,14.00,31.00,8.31,7.02,18.77,15.91,,,,,,,,,"https://www.target.com/c/office-storage-organization/cable-management/-/N-o333bZ5vgf5 | https://www.target.com/s/wire%2Bmanagers","Reject above USD 15.91 all-in at the band high; premium only for stronger material, mounting and capacity."
category_gate,2026-08-08,United States,USD,Compact desktop organizer/caddy/drawers,8.00,25.00,4.62,3.88,15.08,12.77,,,,,,,,,"https://www.target.com/c/desk-organizers-accessories-office-supplies-school/-/N-hqchr","Reject above USD 12.77 all-in at the band high; avoid products that cannot differentiate from mass-retail private label."
