cluster,shopify_product_id,dsers_product_id,product,rank,supplier_item_id,supplier_title,visible_sales,reliability,response,delivery,rating,cost_usd,ca_method,ca_shipping_usd,ca_days,us_method,us_shipping_usd,us_days,selected_variant,alternative_stock,config_status,rough_high_ca_landed_equivalent,decision
PET,9351137296634,2085219068647964672,smart_pet_feeder,1,1005010806432384,NOT_EXPOSED_BY_OPTIMIZER,159,5.0,4.8,4.8,4.9,46.50-65.13,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"feeder type capacity plug voltage WiFi app voice unknown",90.81_CA_93.59_US_EQUIV,FAIL_ECONOMICS_AND_FIDELITY
PET,9351137296634,2085219068647964672,smart_pet_feeder,2,1005009948405215,NOT_EXPOSED_BY_OPTIMIZER,132,4.7,4.7,4.8,4.5,33.77-53.35,AliExpress Selection Standard,0.00,8,AliExpress Selection Shipping_Oversized,1.99,31,NONE_NOT_MAPPED,NOT_EXPOSED,"feeder type capacity plug voltage WiFi app voice unknown",74.39_CA_77.16_US_EQUIV,FAIL_ECONOMICS_AND_ETA
PET,9351137296634,2085219068647964672,smart_pet_feeder,3,1005007345273644,NOT_EXPOSED_BY_OPTIMIZER,92,5.0,4.8,4.8,4.9,37.50-44.02,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"feeder type capacity plug voltage WiFi app voice unknown",61.38_CA_64.15_US_EQUIV,HOLD_FIDELITY
PET,9351433879802,2085218885243568128,boykeep_camera,1,1005006953436495,NOT_EXPOSED_BY_OPTIMIZER,315,4.6,4.7,4.8,4.8,23.39-25.58,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"input voltage plug app storage resolution unknown",35.67_CA_38.44_US_EQUIV,HOLD_FIDELITY
PET,9351433879802,2085218885243568128,boykeep_camera,2,1005006811156970,NOT_EXPOSED_BY_OPTIMIZER,275,4.6,4.7,4.8,4.9,34.86-35.60,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"input voltage plug app storage resolution unknown",49.64_CA_52.41_US_EQUIV,FAIL_US_MARGIN_AND_FIDELITY
PET,9351433879802,2085218885243568128,boykeep_camera,3,1005008638359420,NOT_EXPOSED_BY_OPTIMIZER,140,4.6,4.6,4.7,4.9,16.17-109.59,NO_SHIPPING,,NA,NO_SHIPPING,,NA,NONE_NOT_MAPPED,NOT_EXPOSED,"extreme variant range; input voltage plug app storage resolution unknown",152.80_HIGH,FAIL_ROUTE_AND_ECONOMICS
HOME,9351895810298,2085218769107484672,usb_desk_lamp,1,1005012013824919,NOT_EXPOSED_BY_OPTIMIZER,354,5.0,4.8,4.8,4.9,10.51-18.63,AliExpress Selection Standard,2.16,8,AliExpress Selection Standard,1.99,7,NONE_NOT_MAPPED,NOT_EXPOSED,"rechargeability connector battery modes certification unknown",28.99_CA_28.75_US_EQUIV,FAIL_COMPETITIVE_CEILING
HOME,9351895810298,2085218769107484672,usb_desk_lamp,2,1005011845601959,NOT_EXPOSED_BY_OPTIMIZER,105,4.5,4.6,4.7,4.3,7.67,AliExpress Selection Standard,2.16,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"rechargeability connector battery modes certification unknown",13.71_CA_13.47_US_EQUIV,HOLD_FIDELITY
HOME,9351895810298,2085218769107484672,usb_desk_lamp,3,1005010518798290,NOT_EXPOSED_BY_OPTIMIZER,62,4.5,4.7,4.7,4.1,16.72,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"rechargeability connector battery modes certification unknown",23.31_CA_26.09_US_EQUIV,FAIL_COMPETITIVE_CEILING
HOME,9351189004538,2085218934304604160,milk_frother,1,1005009033050005,NOT_EXPOSED_BY_OPTIMIZER,410,4.5,4.6,4.7,4.8,4.01-4.11,AliExpress Selection Standard,2.16,8,AliExpress Selection Standard,1.99,6,NONE_NOT_MAPPED,NOT_EXPOSED,"colour battery charging speeds included whisks unknown",8.74_CA_8.51_US_EQUIV,HOLD_FIDELITY
HOME,9351189004538,2085218934304604160,milk_frother,2,1005007646367608,NOT_EXPOSED_BY_OPTIMIZER,119,4.7,4.8,4.8,4.7,10.33,Cainiao Standard For Special Goods,0.00,6,AliExpress standard shipping,0.00,8,NONE_NOT_MAPPED,NOT_EXPOSED,"colour battery charging speeds included whisks unknown",14.40_BOTH,HOLD_FIDELITY_NARROW_MARGIN
HOME,9351189004538,2085218934304604160,milk_frother,3,1005008216625826,NOT_EXPOSED_BY_OPTIMIZER,56,4.7,4.8,4.7,4.7,10.14,Cainiao Standard For Special Goods,0.00,6,AliExpress standard shipping,0.00,8,NONE_NOT_MAPPED,NOT_EXPOSED,"colour battery charging speeds included whisks unknown",14.14_BOTH,HOLD_FIDELITY_NARROW_MARGIN
