provisional_score,shopify_product_id,shopify_title,dsers_product_id,shopify_price_min_cad,shopify_price_max_cad,dsers_card_cost_min_cad,dsers_card_cost_max_cad,item_cost_only_headroom_pct_conservative,dsers_stock,canada_route_status,triage_status,risk_flags,evidence_limit
40,9351895548154,500ML Temperature Display Thermos Cup Stainless Steel Divide,2085218798941634560,127.33,127.33,37.32,37.32,70.7,32460,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
32,9351189004538,Wireless Milk Frother — USB Rechargeable 3-Speed Electric Whisk,2085218934304604160,68.97,68.97,10.95,12.29,82.2,19978,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
32,9351895810298,USB Desk Lamp 3 Levels Dimmable Touch Night Light USB Rechargeable,2085218769107484672,138.22,138.22,18.32,31.63,77.1,24973,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
30,9351137296634,Smart Pet Feeder — Automatic WiFi Dog & Cat Food Dispenser with App Control & Voice Recording,2085219068647964672,137.70,137.70,61.48,66.47,51.7,247858,Verified in DSers: AliExpress Selection Standard; CN; Free Shipping; 8–15 days; tracking available,"DEEP REVIEW: route captured; verify exact SKU, claims and full margin",high safety/returns/support review | electrical/battery/app review | selected DSers SKU must be checked against WiFi/voice claims | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
24,9351434240250,Essager Magnetic Wireless Car Charger 15W MagSafe Holder Easy Paste Mount for iPhone 15 14 13 Pro Max,2085218824753315840,66.69,66.69,17.35,21.37,68.0,9999,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
20,9351188742394,USB Portable Water Flosser — 200ML Cordless Oral Irrigator with 4 Nozzles for Travel & Home Use,2085219012322590721,129.65,129.65,26.35,26.35,79.7,4656,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
20,9351191855354,Cordless Hair Straightener Brush — LCD Display Ceramic Heating Comb for Travel & Touch-Ups,2085218918345342976,63.00,63.00,22.29,22.29,64.6,49988,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
20,9351188939002,Mini 2-in-1 Hair Straightener & Curling Iron — Cordless Travel Styling Tool with Ceramic Plates,2085218941523001344,55.35,55.35,7.83,8.80,84.1,75660,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
20,9351895515386,Portable Fascia Gun Vibration Massage Gun For Body Neck Back,2085218807250419712,243.80,243.80,29.23,29.23,88.0,1000,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
20,9351433879802,Boykeep 2K Pet Dog Camera 5G/2.4GHz WiFi Indoor Security Baby Monitor 360 Pan Tilt 2-Way Audio Night Vision,2085218885243568128,98.79,98.79,31.88,36.34,63.2,4655,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
18,9351188709626,Professional Japanese Kitchen Knives Set — Stainless Steel 6-Piece,2085219021570965504,100.20,100.20,11.29,54.31,45.8,88106,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
15,9351188840698,"Solar Air Purifier — Filter-Free Automatic Air Cleaner with USB Charging for Home, Office & Car",2085219004571451392,89.77,89.77,15.01,15.01,83.3,120,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
12,9351191822586,Original Lenovo GM2 Pro TWS Wireless Earbuds (LP40-compatible),2085218927035678720,107.80,107.80,19.53,28.58,73.5,300010,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
12,9351428374778,Tesla Magnetic Phone Holder — Custom Fit for Model 3/Y/Highland Screen Mount with 360° Rotation,2085218901899149312,74.85,74.85,22.84,48.07,35.8,3993,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
10,9351188906234,"Ultra Thin Smart Watch Men 1.96"" AMOLED HD Display — Bluetooth Call",2085218950125518848,96.25,96.25,40.86,45.06,53.2,139967,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
8,9351137427706,Double Hammock Canvas — 2 Person Outdoor Hammock with Tree Straps,2085219037391880192,72.95,72.95,21.94,45.20,38.0,9988,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
7,9351188611322,Baseus Bass EP10 NC -43dB Active Noise Cancelling Wireless Earbuds,2085219028835893248,170.00,170.00,28.68,28.68,83.1,735,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
