product,shopify_id,dsers_mapping_id,supplier,item_id,visible_sales,ratings,item_cost_usd,ca_shipping_method,ca_shipping_usd,ca_eta_days,us_shipping_method,us_shipping_usd,us_eta_days,exact_option,candidate_stock,tracking,optimistic_ca_margin,decision,reason,url
Tesla Magnetic Phone Holder,9351428374778,2085218901899149312,Alibaba,1601612080933,0,none,1.99,Premium,6.83,8,Standard,7.00,8,UNVERIFIED,UNVERIFIED,UNVERIFIED,83.6%,REJECT,"Zero-sales image match; option/MOQ/stock unknown",
Tesla Magnetic Phone Holder,9351428374778,2085218901899149312,Alibaba,1601251704417,0,none,2.19-3.09,Premium,6.83,8,Standard,7.00,8,UNVERIFIED,UNVERIFIED,UNVERIFIED,83.2%,REJECT,"Zero-sales image match; option/MOQ/stock unknown",
Tesla Magnetic Phone Holder,9351428374778,2085218901899149312,Alibaba,1601399528962,0,none,2.20,Standard,4.70,7,Standard,5.12,8,UNVERIFIED,UNVERIFIED,UNVERIFIED,87.1%,REJECT,"Zero-sales image match; option/MOQ/stock unknown",
Essager Magnetic Wireless Car Charger,9351434240250,2085218824753315840,AliExpress,1005006973804847,214,"4.8|4.9|4.9|4.7",10.18-14.43,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,UNVERIFIED,UNVERIFIED,UNVERIFIED,78.7%,HOLD,"Best screen but exact branded option/mount/cable/stock unverified",https://www.aliexpress.com/item/1005006973804847.html
Essager Magnetic Wireless Car Charger,9351434240250,2085218824753315840,AliExpress,1005006974799298,97,"4.8|4.9|4.9|4.8",11.37-17.89,AliExpress Selection Standard,2.16,8,AliExpress Selection Standard,1.99,6,UNVERIFIED,UNVERIFIED,UNVERIFIED,71.7%,HOLD,"Exact option/mount/cable/stock unverified",https://www.aliexpress.com/item/1005006974799298.html
Essager Magnetic Wireless Car Charger,9351434240250,2085218824753315840,AliExpress,1005006974076067,18,"4.8|4.9|4.9|4.9",14.10-21.35,AliExpress Selection Standard,2.16,8,AliExpress Selection Standard,1.99,6,UNVERIFIED,UNVERIFIED,UNVERIFIED,66.0%,REJECT,"Low visible sales and exact option/stock unverified",https://www.aliexpress.com/item/1005006974076067.html
Generic 4K Dash Cam,9351433978106,2085218876695642112,AliExpress,1005007462897497,102,"4.4|4.6|4.7|4.6",51.39-95.60,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,UNVERIFIED,UNVERIFIED,UNVERIFIED,35.1%,REJECT,"Weak ratings; exact 4K/GPS/parking kit unverified",https://www.aliexpress.com/item/1005007462897497.html
Generic 4K Dash Cam,9351433978106,2085218876695642112,AliExpress,1005006859918901,94,"4.6|4.7|4.7|4.7",42.66-91.80,AliExpress Selection Standard,0.00,8,YunExpress Standard Shipping,0.00,7,UNVERIFIED,UNVERIFIED,UNVERIFIED,46.1%,HOLD,"Best economics but advertised specification and stock unverified",https://www.aliexpress.com/item/1005006859918901.html
Generic 4K Dash Cam,9351433978106,2085218876695642112,AliExpress,1005012166515692,59,"4.4|4.5|4.6|4.5",51.84-94.44,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,7,UNVERIFIED,UNVERIFIED,UNVERIFIED,34.5%,REJECT,"Low sales/ratings and configuration ambiguity",https://www.aliexpress.com/item/1005012166515692.html
70mai M310 Plus,9351428276474,2085218909516333056,AliExpress,1005007522941114,481,"4.8|4.8|4.8|4.8",82.79-386.39,AliExpress Selection Standard,0.00,9,AliExpress Selection Standard,0.00,10,UNVERIFIED,UNVERIFIED,UNVERIFIED,-51.7%,REJECT,"Minimum price exceeds CA selling price after FX",https://www.aliexpress.com/item/1005007522941114.html
70mai M310 Plus,9351428276474,2085218909516333056,AliExpress,1005002702009187,451,"4.8|4.8|4.8|4.8",34.99-119.99,AliExpress Selection Standard,0.00,9,AliExpress Selection Standard,0.00,10,UNVERIFIED,UNVERIFIED,UNVERIFIED,35.9%,HOLD,"Exact M310 Plus bundle/option and stock unverified; range can lose",https://www.aliexpress.com/item/1005002702009187.html
70mai M310 Plus,9351428276474,2085218909516333056,AliExpress,32896648775,424,"4.9|4.8|4.8|4.9",38.99-99.83,AliExpress Selection Standard,0.00,9,AliExpress Selection Standard,0.00,10,UNVERIFIED,UNVERIFIED,UNVERIFIED,28.6%,REJECT,"Thin optimistic margin and broad variant range",https://www.aliexpress.com/item/32896648775.html
KAWA MINI 3,9351434371322,2085218816331218944,AliExpress,1005012182960276,465,"4.8|4.8|4.8|4.8",65.90,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,UNVERIFIED,UNVERIFIED,UNVERIFIED,16.7%,REJECT,"Margin too thin before fees/returns/ads",https://www.aliexpress.com/item/1005012182960276.html
KAWA MINI 3,9351434371322,2085218816331218944,AliExpress,1005008825660425,190,"4.8|4.8|4.8|4.8",53.83-59.28,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,6,UNVERIFIED,UNVERIFIED,UNVERIFIED,32.0%,HOLD,"Exact MINI 3 version/firmware/stock unverified",https://www.aliexpress.com/item/1005008825660425.html
KAWA MINI 3,9351434371322,2085218816331218944,AliExpress,1005010759753412,167,"4.4|4.5|4.6|4.4",16.39-24.71,AliExpress Selection Standard,0.00,8,AliExpress Selection Standard,1.99,7,UNVERIFIED,UNVERIFIED,UNVERIFIED,79.3%,REJECT,"Price/ratings imply mismatched visual result",https://www.aliexpress.com/item/1005010759753412.html
