dsers_product_id,shopify_product,native_cost,ca_cost,ca_price,dsers_stock,product_mapping_status,variant_mapping_status,canada_route_status,supplier_item
"2085219068647964672","Smart Pet Feeder — Automatic WiFi Dog & Cat Food Dispenser with App Control & Voice Recording","$44.07 ~ 47.65","CA$ 61.48~66.47","CA$ 137.70","247858","Mapped to AliExpress (product-level)","Selected mapped SKU inspected: Black Button Feeder","Verified in DSers: AliExpress Selection Standard; CN; Free Shipping; 8–15 days; tracking available","Smart Pet Feeder Automatic Cat Feeder Dog Slow Food Machine With Timed Quantitative Automatic Cat Food Dispenser Cat Dog Bowl"
"2085219060599029760","11-in-1 Electric Massage Gun — Deep Tissue Percussion Therapy for Muscle Recovery & Pain Relief","$56.31","CA$ 78.56","CA$ 96.33","1998","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219052449824768","Brushless Electric Drill Kit — 21V Cordless Impact Driver with 2 Batteries & 30+ Accessories","$46.31 ~ 48.32","CA$ 64.60~67.41","CA$ 134.47","319","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219045025841152","Trustfire GM23 Tactical Flashlight — 800 Lumen LED Mini Light","$29.57 ~ 56.86","CA$ 41.25~79.32","CA$ 77.53","2636","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219037391880192","Double Hammock Canvas — 2 Person Outdoor Hammock with Tree Straps","$15.73 ~ 32.4","CA$ 21.94~45.20","CA$ 72.95","9988","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219028835893248","Baseus Bass EP10 NC -43dB Active Noise Cancelling Wireless Earbuds","$20.56","CA$ 28.68","CA$ 170.00","735","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219021570965504","Professional Japanese Kitchen Knives Set — Stainless Steel 6-Piece","$8.09 ~ 38.93","CA$ 11.29~54.31","CA$ 100.20","88106","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219012322590721","USB Portable Water Flosser — 200ML Cordless Oral Irrigator with 4 Nozzles for Travel & Home Use","$18.89","CA$ 26.35","CA$ 129.65","4656","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085219004571451392","Solar Air Purifier — Filter-Free Automatic Air Cleaner with USB Charging for Home, Office & Car","$10.76","CA$ 15.01","CA$ 89.77","120","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218997185675264","Oral Irrigator — 3 Cleaning Modes Portable Rechargeable Dental Water Jet","$20.73 ~ 20.75","CA$ 28.92~28.95","CA$ 64.88","200","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218950125518848","Ultra Thin Smart Watch Men 1.96"" AMOLED HD Display — Bluetooth Call","$29.29 ~ 32.3","CA$ 40.86~45.06","CA$ 96.25","139967","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
