shopify_id,dsers_product_id,current_product,current_shopify_price_cad,current_dsers_cost_cad,current_mapped_stock,supplier_item_id,exact_visible_supplier_title,visible_sales,dsers_reliability,dsers_response,dsers_delivery,dsers_rating,item_cost_usd,ca_shipping_method,ca_shipping_usd,ca_eta_days,us_shipping_method,us_shipping_usd,us_eta_days,alternative_stock,configuration_proved,configuration_or_safety_unknown,rough_ca_landed_cad,rough_ca_gross_spread_cad,rough_ca_gross_spread_pct,decision
9351191855354,2085218918345342976,"Cordless Hair Straightener Brush",63.00,22.29,49988,1005012095647498,"Cordless Rechargeable Hair Straightener Brush, Negative Ions Hair Straightener Comb with 3 Temp Settings, Fast Heating & Display",348,5.0,4.8,4.8,4.9,"17.11-19.33","AliExpress Selection Standard",0.00,8,"AliExpress Selection Standard",1.99,6,"Not displayed","Rechargeable brush; 3 settings; display","Exact option; temperature; battery; charger; plug/voltage; certifications; kit",26.97,36.03,57.2,"HOLD / NO-GO"
9351191855354,2085218918345342976,"Cordless Hair Straightener Brush",63.00,22.29,49988,1005008130109716,"Electric LCD Usb Ceramic Heating Straight Hair Comb Wireless Portable Negative Ion Styling Tool Rechargeable Straightening Brush",252,4.5,4.6,4.7,4.0,15.98,TOPYOU,0.00,9,"ChuKouYi Standard Shipping",0.00,10,"Not displayed","LCD; USB; ceramic; rechargeable","Exact option; temperature; voltage; battery; certification; kit",22.29,40.71,64.6,"HOLD / NO-GO"
9351191855354,2085218918345342976,"Cordless Hair Straightener Brush",63.00,22.29,49988,1005008130226821,"Electric LCD Usb Ceramic Heating Straight Hair Comb Wireless Portable Negative Ion Styling Tool Rechargeable Straightening Brush",225,4.5,4.6,4.7,4.4,15.98,TOPYOU,0.00,9,"ChuKouYi Standard Shipping",0.00,10,"Not displayed","LCD; USB; ceramic; rechargeable","Exact option; distinction from near-identical result; temperature; voltage; battery; certification; kit",22.29,40.71,64.6,"HOLD / NO-GO"
9351188939002,2085218941523001344,"Mini 2-in-1 Hair Tool",55.35,"7.83-8.80",75658,1005011938383942,"2026 Fast Shipping Compact Mini Hair Crimper Wave Curling Iron Ceramic Hair Waver for Women Short Hair Bangs Hair Styling Tools",359,4.4,4.6,4.7,4.7,"6.79-8.00","AliExpress Selection Standard",1.99,8,"AliExpress Selection Standard",1.99,6,"Not displayed","Crimper/waver","Wrong function; not proved cordless; plug/voltage; temperature; certification",13.94,41.41,74.8,"REJECT"
9351188939002,2085218941523001344,"Mini 2-in-1 Hair Tool",55.35,"7.83-8.80",75658,1005012275378239,"Mini Hair-Straightener Curly and Straight Hair Supplies Thermostatic Electric Ceramic Curling Iron National Standard Double Flat",205,4.5,4.6,4.6,4.2,"4.10-4.25","AliExpress Selection Standard",2.16,8,"AliExpress Selection Standard",1.99,6,"Not displayed","Dual-use wording; ceramic","Exact functions; cordless claim; plug/voltage; temperature; certification",8.94,46.41,83.8,"REJECT"
9351188939002,2085218941523001344,"Mini 2-in-1 Hair Tool",55.35,"7.83-8.80",75658,1005005854834549,"Mini Hair Straightener 3-in-1 Ceramic Flat Iron",186,4.4,4.6,4.7,4.7,9.19,"AliExpress standard shipping",8.97,8,"YunExpress Standard Shipping",7.80,7,"Not displayed","3-in-1 wording; ceramic","Exact functions; cordless claim; plug/voltage; temperature; certification",25.33,30.02,54.2,"REJECT"
9351188742394,2085219012322590721,"USB Portable Water Flosser",129.65,26.35,4656,1005008771418652,"Portable Dental Water Flosser Oral Irrigator USB Rechargeable Water Floss Jet Tooth Pick 4 Tips 220ml Mouth Washing Machine",399,4.4,4.5,4.6,4.2,"9.79-10.19","AliExpress Selection Standard",2.16,8,"AliExpress Selection Standard",1.99,6,"Not displayed","220 ml; 4 tips; USB rechargeable","Exact option; pressure/modes; port; battery; materials; waterproofing; oral-contact evidence",17.23,112.42,86.7,"HOLD / NO-GO"
9351188742394,2085219012322590721,"USB Portable Water Flosser",129.65,26.35,4656,1005006863843606,"Portable Cordless Water Flosser, USB Rechargeable Smart Electric Oral Irrigator w/4 Jet Tips & 3 Modes, for Teeth & Braces Care",233,5.0,4.8,4.8,4.9,"8.81-9.25","AliExpress Selection Standard",2.16,8,"AliExpress Selection Standard",1.99,6,"Not displayed","4 tips; 3 modes; USB rechargeable","Exact option; reservoir; pressure; battery/material/waterproof evidence; braces substantiation",15.92,113.73,87.7,"HOLD / NO-GO — BEST LEAD"
9351188742394,2085219012322590721,"USB Portable Water Flosser",129.65,26.35,4656,1005007622572298,"Water Dental Flosser Teeth Picks - 4 Jets 3 Modes Portable Cordless Water Flosser for Teeth Cleaner, IPX7 Waterproof Oral Irriga…",22,4.1,4.2,4.3,5.0,"11.34-11.75","AliExpress Selection Standard",1.99,9,"AliExpress Selection Standard",1.99,8,"Not displayed","4 jets; 3 modes; IPX7 claimed","Exact option; reservoir; charging; battery/material; IPX7 substantiation",19.17,110.48,85.2,"HOLD / NO-GO"
9351188873466,2085218997185675264,"Oral Irrigator",64.88,"28.92-28.95",200,1005008781687369,"Teeth Water Flosser Electric Oral Irrigator Portable Home Dental Cleaning Teeth Rechargeable Waterproof Teeth Cleaner Oral Care",72,4.4,4.6,4.6,4.4,"19.02-19.05","AliExpress Selection Standard",0.00,8,"AliExpress Selection Standard",1.99,7,"Not displayed","Rechargeable; waterproof wording","Exact option; modes/nozzles/capacity; charging; waterproof/material proof",26.57,38.31,59.0,"REJECT"
9351188873466,2085218997185675264,"Oral Irrigator",64.88,"28.92-28.95",200,1005010152941806,"Portable Water Flosser for Teeth Cleaning, 3 Modes, 4 Nozzles, Type-C Rechargeable, IPX7 Waterproof High Pressure Oral Irrigator",41,4.5,4.6,4.7,4.4,"18.68-18.78","AliExpress Selection Standard",0.00,8,"AliExpress Selection Standard",1.99,7,"Not displayed","3 modes; 4 nozzles; Type-C; IPX7 claimed","Exact option/capacity/material; IPX7 and pressure substantiation",26.20,38.68,59.6,"REJECT"
9351188873466,2085218997185675264,"Oral Irrigator",64.88,"28.92-28.95",200,1005012753641686,"Portable Oral Irrigator with 3 Cleaning Modes Rechargeable Waterproof IP65 Dental Water Flosser Teeth Whitening Jet Floss 200ML",17,4.3,4.5,4.5,5.0,"10.99-12.19","AliExpress Selection Standard",2.16,9,"AliExpress Selection Standard",1.99,8,"Not displayed","3 modes; 200 ml; IP65 claimed","Exact option/nozzles/charging/material; IP65 and whitening substantiation",20.02,44.86,69.1,"REJECT"
9351895711994,2085218783376834560,"VGR V-071 Trimmer",159.82,21.80,16,1005006381080864,"VGR 071 Hair Trimmer Professional Hair Clipper Wireless Hair Cutting Machine Electric Zero Cutting Machine Trimmer for Men",439,4.6,4.7,4.7,4.8,"13.64-14.29","AliExpress Selection Standard",2.16,8,"AliExpress Selection Standard",1.99,6,"Not displayed","VGR 071; cordless trimmer","Brand authorization/authenticity; exact kit/blade/battery/charger; compliance; warranty",22.95,136.87,85.6,"HOLD / NO-GO — BRAND BLOCKER"
9351895711994,2085218783376834560,"VGR V-071 Trimmer",159.82,21.80,16,1005007480539912,"VGR Rechargeable Hair Trimmer for Men, V-071",439,4.6,4.7,4.7,4.7,"13.38-16.57","AliExpress Selection Standard",1.99,8,"AliExpress Selection Standard",1.99,6,"Not displayed","VGR V-071; rechargeable","Brand authorization/authenticity; exact kit/blade/battery/charger; compliance; warranty",25.89,133.93,83.8,"HOLD / NO-GO — BRAND BLOCKER"
