evidence_date,record_scope,product,shopify_handle,variant,sku,market,sell_price,currency,inventory,mapping_evidence,supplier_item_cost,supplier_shipping,delivery_eta,tracking,duty_handling,payment_fee_assumption,refund_defect_reserve_assumption,max_landed_cost_30pct_no_promo,max_landed_cost_30pct_at_15pct_promo,observed_market_price_band,decision,blocking_reason
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BK-L","14:100018754#BK-L",Canada,73.28,CAD,12,"Shopify product tag dsers-mapped only",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"customer duties desired but checkout/policy proof not captured","3.5% + 0.30 conservative assumption","5% of merchandise revenue",44.77,38.01,"Exact-model CA/US band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","No exact DSers supplier variant cost; no Canadian quote; low inventory; no current route/ETA/tracking evidence"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","Grey-L","14:100018756#Grey-L",Canada,70.23,CAD,7,"Shopify product tag dsers-mapped only",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"customer duties desired but checkout/policy proof not captured","3.5% + 0.30 conservative assumption","5% of merchandise revenue",42.89,36.41,"Exact-model CA/US band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","No exact DSers supplier variant cost; no Canadian quote; low inventory; no current route/ETA/tracking evidence"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BK-S","14:100018757#BK-S",Canada,40.23,CAD,8,"Shopify product tag dsers-mapped only",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"customer duties desired but checkout/policy proof not captured","3.5% + 0.30 conservative assumption","5% of merchandise revenue",24.44,20.73,"Exact-model CA/US band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","No exact DSers supplier variant cost; no Canadian quote; low inventory; no current route/ETA/tracking evidence"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BN-S","14:100018755#BN-S",Canada,40.23,CAD,4,"Shopify product tag dsers-mapped only",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"customer duties desired but checkout/policy proof not captured","3.5% + 0.30 conservative assumption","5% of merchandise revenue",24.44,20.73,"Exact-model CA/US band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","No exact DSers supplier variant cost; no Canadian quote; low inventory; no current route/ETA/tracking evidence"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BN-L","14:200141872#BN-L",Canada,73.45,CAD,6,"Shopify product tag dsers-mapped only",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"customer duties desired but checkout/policy proof not captured","3.5% + 0.30 conservative assumption","5% of merchandise revenue",44.87,38.10,"Exact-model CA/US band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","No exact DSers supplier variant cost; no Canadian quote; low inventory; no current route/ETA/tracking evidence"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","Grey-S","14:100018753#Grey-S",Canada,40.69,CAD,11,"Shopify product tag dsers-mapped only",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"customer duties desired but checkout/policy proof not captured","3.5% + 0.30 conservative assumption","5% of merchandise revenue",24.72,20.97,"Exact-model CA/US band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","No exact DSers supplier variant cost; no Canadian quote; low inventory; no current route/ETA/tracking evidence"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BK-L","14:100018754#BK-L",United States,54.00,USD,12,"Shopify tags dsers-mapped and us-route-verified; no underlying quote attached",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN","3.5% + 0.30 conservative assumption","5% of merchandise revenue",32.91,27.93,"Matched-model US/CA retail band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","Route tag is not quote evidence; no exact supplier cost/shipping/ETA/tracking; low inventory"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","Grey-L","14:100018756#Grey-L",United States,52.00,USD,7,"Shopify tags dsers-mapped and us-route-verified; no underlying quote attached",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN","3.5% + 0.30 conservative assumption","5% of merchandise revenue",31.68,26.88,"Matched-model US/CA retail band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","Route tag is not quote evidence; no exact supplier cost/shipping/ETA/tracking; low inventory"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BK-S","14:100018757#BK-S",United States,30.00,USD,8,"Shopify tags dsers-mapped and us-route-verified; no underlying quote attached",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN","3.5% + 0.30 conservative assumption","5% of merchandise revenue",18.15,15.38,"Matched-model US/CA retail band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","Route tag is not quote evidence; no exact supplier cost/shipping/ETA/tracking; low inventory"
2026-08-08,current_active,"Naturehike NH20SN010 toiletry bag","naturehike-camping-hiking-toiletry-bag-travel-cosmetic-bag-beach-pool-surfing-portable-large-capacity-carry-waterproof-bag","BN-S","14:100018755#BN-S",United States,30.00,USD,4,"Shopify tags dsers-mapped and us-route-verified; no underlying quote attached",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN","3.5% + 0.30 conservative assumption","5% of merchandise revenue",18.15,15.38,"Matched-model US/CA retail band not established; global matched-model evidence includes US$12.92 unit price","QUARANTINED","Route tag is not quote evidence; no exact supplier cost/shipping/ETA/tracking; low inventory"
