"product_id","product_title","handle","status","launch_tag","variant_id","variant_title","sku","available_for_sale","inventory_quantity","price","unit_cost","canada_shipping_cap","needs_quote","quote_item_cost","quote_shipping_cost","quote_delivery_window","quote_service","quote_stock","quote_result","notes"
"9326918205690","Adjustable Rhinestone Ring","minimalist-acrylic-rhinestone-open-ring-for-women-korean-fashion-geometry-adjustable-knuckle-ring-party-jewelry-lady-gifts","ACTIVE","yes","49738558079226","Style1","200000783:193#Style1","True","33","14.99","3.50","4.07","yes","3.50","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","44","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Style1 and Style2 returned US $2.15 shipping with tracking available."
"9326918205690","Adjustable Rhinestone Ring","minimalist-acrylic-rhinestone-open-ring-for-women-korean-fashion-geometry-adjustable-knuckle-ring-party-jewelry-lady-gifts","ACTIVE","yes","49738558046458","Style2","200000783:200003699#Style2","True","13","14.99","3.42","4.15","yes","3.42","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","44","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Style1 and Style2 returned US $2.15 shipping with tracking available."
"9326918271226","Car Sun Visor Organizer","sun-visor-organizer-clip","ACTIVE","yes","49738559619322","Beige","200000182:691#Beige","True","11","14.99","3.23","4.34","yes","3.23","3.03","6~11 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","57","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. black, Beige, and Brown returned US $2.15 shipping with tracking available."
"9326918271226","Car Sun Visor Organizer","sun-visor-organizer-clip","ACTIVE","yes","49738559586554","black","200000182:29#black","True","48","14.99","1.65","5.92","yes","1.65","3.03","6~11 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","57","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. black, Beige, and Brown returned US $2.15 shipping with tracking available."
"9326918271226","Car Sun Visor Organizer","sun-visor-organizer-clip","ACTIVE","yes","49738559652090","Brown","200000182:350686#Brown","True","14","14.99","3.21","4.36","yes","3.21","3.03","6~11 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","57","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. black, Beige, and Brown returned US $2.15 shipping with tracking available."
"9326918795514","Compact Bicycle Bell","compact-bicycle-bell","ACTIVE","yes","49738572038394","Black","14:29#Black","True","29","14.99","2.60","4.97","yes","2.60","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","617","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Blue, Green, Slivery, Black, Gold, and Red all returned US $2.15 shipping with tracking available."
"9326918795514","Compact Bicycle Bell","compact-bicycle-bell","ACTIVE","yes","49738571940090","Blue","14:366#Blue","True","22","14.99","2.73","4.84","yes","2.73","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","617","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Blue, Green, Slivery, Black, Gold, and Red all returned US $2.15 shipping with tracking available."
"9326918795514","Compact Bicycle Bell","compact-bicycle-bell","ACTIVE","yes","49738572071162","Gold","14:200002984#Gold","True","1","14.99","3.54","4.03","yes","3.54","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","617","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Blue, Green, Slivery, Black, Gold, and Red all returned US $2.15 shipping with tracking available."
"9326918795514","Compact Bicycle Bell","compact-bicycle-bell","ACTIVE","yes","49738571972858","Green","14:200006151#Green","True","133","14.99","3.57","4.00","yes","3.57","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","617","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Blue, Green, Slivery, Black, Gold, and Red all returned US $2.15 shipping with tracking available."
"9326918795514","Compact Bicycle Bell","compact-bicycle-bell","ACTIVE","yes","49738572103930","Red","14:10#Red","True","1","14.99","3.80","3.77","yes","3.80","3.03","7~12 days","AliExpress Selection Standard; ships from CN; DSers displayed US $2.15 shipping","617","PASS","Checked in DSers Shipping info modal for Canada on 2026-07-26. Blue, Green, Slivery, Black, Gold, and Red all returned US $2.15 shipping with tracking available."
