"sequence","tranche","product","handle","current_status","workstream","current_decision","required_action","completion_test"
"1","3_VARIANT_AND_CONTENT_REPAIR","New Girl Dresses Princess Costume Kids Mermaid Cosplay Costume Kids Carnival Birthday Party Prom Costume Party Dresses For girls","new-girl-dresses-princess-costume-kids-mermaid-cosplay-costume-kids-carnival-birthday-party-prom-costume-party-dresses-for-girls","DRAFT","C2_DRAFT_REPRICE_CONTENT_REVIEW","DRAFT_QUOTE_COMPLETE_REPRICE_REQUIRED","Quote Canada and US; verify textile composition, sizing, flammability/labeling evidence, and remove ambiguous cosplay claims before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"2","3_VARIANT_AND_CONTENT_REPAIR","Precision Nail Clippers","large-opening-nail-clippers-gray-nail-trimmer-thick-nails-for-the-elderly-individual-household-nail-clippers-durable","DRAFT","C3_DRAFT_CONTENT_REVIEW","DRAFT_QUOTE_COMPLETE_CONTENT_REVIEW","Complete content/compliance review and contribution validation before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"3","2_US_ONLY_DUAL_COUNTRY_REPAIR","Digital Watch & Jewellery Gift Set","6-piece-set-of-fashion-electronic-watch-necklace-earrings-ring-set-for-teenagers-boys-and-girls-the-best-choice-for-frien-watch-for-women-women-watches","DRAFT","C5_DRAFT_US_READY_MARKET_BLOCKED","DRAFT_US_PRICE_CONTENT_READY_MARKET_BLOCKED","Keep Draft until the Managed Markets US checkout blocker is resolved; then verify live US-only visibility and delivery before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"4","2_US_ONLY_DUAL_COUNTRY_REPAIR","Quartz Watch, Bracelet & Necklace Set","3pcs-set-men-business-watches-casual-leather-band-analog-males-quartz-watch-necklace-bracelet-set","DRAFT","C5_DRAFT_US_READY_MARKET_BLOCKED","DRAFT_US_PRICE_CONTENT_READY_MARKET_BLOCKED","Keep Draft until the Managed Markets US checkout blocker is resolved; then verify live US-only visibility and delivery before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"5","2_US_ONLY_DUAL_COUNTRY_REPAIR","Stainless-Steel Quartz Watch & Bracelet","1-2pcs-men-business-watches-fashion-mens-steel-band-quartz-watch-with-bracelet-box-not-included","DRAFT","C5_DRAFT_US_READY_MARKET_BLOCKED","DRAFT_US_PRICE_CONTENT_READY_MARKET_BLOCKED","Keep Draft until the Managed Markets US checkout blocker is resolved; then verify live US-only visibility and delivery before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"6","1_REMEDIATED_DRAFTS","Children's Solid-Color Tights","summer-spring-candy-color-kids-pantyhose-ballet-dance-tights-for-girls-stocking-children-velvet-solid-white-pantyhose","DRAFT","C6_DRAFT_REMEDIATED_REVIEW","DRAFT_PRICE_CONTENT_TAXONOMY_VERIFIED","Keep Draft; replace or separate the failing variant and complete children's textile/compliance review.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"7","1_REMEDIATED_DRAFTS","Everyday Crew-Neck T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","DRAFT","C6_DRAFT_REMEDIATED_REVIEW","DRAFT_PRICE_CONTENT_TAXONOMY_VERIFIED","Keep Draft; replace or separate the no-Canada-shipping variant and verify textile facts before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"8","1_REMEDIATED_DRAFTS","Men's Everyday Shorts","summer-mens-shorts-cool-sportswear-running-sport-shorts-casual-bottoms-gym-fitness-training-jogging-short-pants-men-black-gray","DRAFT","C6_DRAFT_REMEDIATED_REVIEW","DRAFT_PRICE_CONTENT_TAXONOMY_VERIFIED","Keep Draft; replace or separate the failing variant and verify textile specifications before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"9","1_REMEDIATED_DRAFTS","Men's High-Neck Base-Layer Top","thermal-underwear-tops-men-winter-clothes-thermal-shirt-autumn-mens-winter-tights-high-neck-thin-slim-fit-long-sleeve-t-shirt","DRAFT","C6_DRAFT_REMEDIATED_REVIEW","DRAFT_PRICE_CONTENT_TAXONOMY_VERIFIED","Keep Draft; replace or separate Coffee / 3L and verify textile specifications before activation.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"10","1_REMEDIATED_DRAFTS","Printed Children's Winter Mittens","windproof-infant-stroller-gloves-childrens-outdoor-sports-mittens-cartoon-printed-hands-warmer-scooter-accessory-for-winter","DRAFT","C6_DRAFT_REMEDIATED_REVIEW","DRAFT_PRICE_CONTENT_TAXONOMY_VERIFIED","Keep Draft; replace or separate C/E/F and complete children's textile/compliance review.","Passing sellable variants; CA/US margin and catalog prices; content/compliance; both live checkouts; final Active or Hold."
"11","4_SUPPLIER_REPLACEMENT_OR_REJECT","Adjustable Raised Pet Bowl Set","pet-supplies-cat-bowls-water-bowls-dog-bowls-tip-over-resistant-pet-bowls-height-adjustable","DRAFT","H4_DRAFT_CANADA_FAIL_EXCLUDED","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","Replacement supplier passes Canada and US economics, or product rejected/archived."
"12","4_SUPPLIER_REPLACEMENT_OR_REJECT","Compact Manicure Set","compact-manicure-set","DRAFT","H4_DRAFT_CANADA_FAIL_EXCLUDED","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","Replacement supplier passes Canada and US economics, or product rejected/archived."
"13","4_SUPPLIER_REPLACEMENT_OR_REJECT","Magnetic Hair Clip","1-2pcs-magnetic-hair-clip-invisible-strong-hold-2-in-1-design-for-fine-and-thick-hair-styling-accessory-practical-gift-for-women","DRAFT","H4_DRAFT_CANADA_FAIL_EXCLUDED","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","Replacement supplier passes Canada and US economics, or product rejected/archived."
"14","4_SUPPLIER_REPLACEMENT_OR_REJECT","No-Drill Shower Shelf","no-drill-shower-shelf","DRAFT","H4_DRAFT_CANADA_FAIL_EXCLUDED","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","Replacement supplier passes Canada and US economics, or product rejected/archived."
"15","4_SUPPLIER_REPLACEMENT_OR_REJECT","Outdoor Cycling Sunglasses","scvcn-new-outdoor-cycling-sunglasses-men-road-driving-bike-glasses-sports-mountain-climbing-women-bicycle-cycling-uv400-goggles","DRAFT","H4_DRAFT_CANADA_FAIL_EXCLUDED","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","Replacement supplier passes Canada and US economics, or product rejected/archived."
"16","4_SUPPLIER_REPLACEMENT_OR_REJECT","Portable Mini Bag Sealer — Handheld Heat Sealer","portable-mini-bag-sealer-handheld-heat-sealer","DRAFT","H4_MAPPED_SUPPLIER_REPLACEMENT","MAPPED_SUPPLIER_REPLACEMENT_REQUIRED","Keep Draft; replace the supplier or reject the product before Canada/U.S. launch.","Replacement supplier passes Canada and US economics, or product rejected/archived."
"17","5_MAPPING_AND_SYNC","6-Piece Silicone Spatula Set","6-piece-silicone-spatula-set","DRAFT","H2_MAPPING_SYNC_REQUIRED","MAPPED_AND_QUOTED_SYNC_REQUIRED","Keep Draft until cost, SKU, stock, pricing, and both-country checkout are re-read after synchronization.","Supplier mapping and Shopify cost/SKU/stock synchronized, or product archived."
"18","5_MAPPING_AND_SYNC","Multi-Compartment Desk Organizer","multi-compartment-desk-organizer","DRAFT","H2_MAPPING_SYNC_REQUIRED","MAPPED_AND_QUOTED_SYNC_REQUIRED","Keep Draft and excluded until DSers-to-Shopify supplier metadata and inventory synchronize; then re-read cost, stock, storefront visibility, and both-country checkout.","Supplier mapping and Shopify cost/SKU/stock synchronized, or product archived."
"19","5_MAPPING_AND_SYNC","Custom Neon Sign","custom-neon-sign","DRAFT","H2_CONFIRMED_UNMAPPED","CONFIRMED_UNMAPPED_KEEP_EXCLUDED","Keep Draft and excluded. Archive if unwanted, or deliberately import/map a verified supplier before quoting.","Supplier mapping and Shopify cost/SKU/stock synchronized, or product archived."
"20","6_RISK_EVIDENCE_OR_REJECT","1:16 Remote-Control Monster Truck","rc-monster-truck-1-16-scale-remote-control-car-2-4ghz-alloy-shell-20km-h-fast-off-road-rc-car-led-led-headlight-toy-gift-for-kid","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
