title,usd_cost_range,cad_cost_range,cad_price_range,stock
"Solar Fairy String Lights for Outdoor Decor","3.76 ~ 7.28","5.30~10.27","13.24~25.66","197"
"Hand-Controlled Mini RC Drone","9.19 ~ 10.14","12.96~14.30","17.81~51.99","31"
"Women Fake Piercing Nose Ring Hoop Septum Piercing Nose Clip Rock HipHoop Stainless Steel Magnet Fashion Body Jewelry Wholesale","1.65 ~ 1.82","2.33~2.57","6.05~6.72","5696"
"Adjustable Raised Pet Bowl Set","10.85 ~ 12.44","15.30~17.54","34.99","14"
"15cm Women's Rabbit Fur Keychain Bag Car Pendant Jewelry Decoration Fashionable Accessory for Bags And Gifts","2.68 ~ 3.72","3.78~5.25","9.81~13.64","61"
"Compact Manicure Set","2.68 ~ 5.35","3.78~7.54","9.46~18.81","235"
"1:16 Remote-Control Monster Truck","16.77 ~ 25.26","23.65~35.62","92.99","30"
"1:64 RC Construction Vehicle Set","15.87 ~ 18.72","22.38~26.40","56.99","70"
"Travel Pet Water Bottle","3.49 ~ 3.56","4.92~5.02","19.99","23"
"Pet Supplies Duck Goose Shoes Pet Cole Foot Poultry Boots Pet Duck Boots with Protective Soles Protective Shoe Set Pet Products","6.42 ~ 6.86","9.05~9.67","22.61~24.12","125"
"No-Drill Shower Shelf","12.63 ~ 23.58","17.81~33.25","44.48~83.05","9981"
"ZWN 2.4G Remote Control Excavator Dump Truck RC Model Car Toy Professional Alloy Plastic Simulation Construction Vehicle for Kid","12.4 ~ 33.94","17.49~47.86","44.58~119.62","17"
"1/2PCS Men Business Watches Fashion Men's Steel Band Quartz Watch with Bracelet（Box not Included）","2.86 ~ 4.21","4.03~5.94","10.51~15.44","129"
"Nail Glue Phototherapy Pen UV Gel Brush Pen Acrylic Nail Art Painting Drawing Liner Brush Manicure Professionnel Brushes Tool","0.92 ~ 1.56","1.30~2.20","3.38~5.73","118"
"300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","4.39 ~ 14.69","6.19~20.72","16.10~53.97","140"
"Digital Watch & Jewellery Gift Set","13.05 ~ 13.43","18.40~18.94","36.99","1748"
"Everyday Carabiner Clip Set","2.07 ~ 2.08","2.92~2.93","14.99","47"
"2023 Fashion Men Watches Luxury Brand Fashion Mens Quartz Watch Luminous Hands Male Clock Big Dial Waterproof Man Wristwatch","1.71 ~ 3.16","2.41~4.46","6.05~11.15","86"
"3PCS/Set Men Business Watches Casual Leather Band Analog Male's Quartz Watch Necklace Bracelet Set","3.22 ~ 3.56","4.54~5.02","11.60~12.80","268"
"Outdoor Cycling Sunglasses","4.56 ~ 4.78","6.43~6.74","16.49~17.62","1012"
"1-20Packs 100Pcs/Pack Wooden Sticks Baby Cotton Swabs Cleaning of Ears Tampons Health Beauty Cotton Swab Cleaning Cotton Buds","2.97 ~ 12.3","4.19~17.35","10.51~45.18","1000161"
"Magnetic Hair Clip","3.24 ~ 5.12","4.57~7.22","11.29~18.04","14"
"Compact Bicycle Bell","1.78 ~ 2.58","2.51~3.64","14.99","536"
"Everyday Zip Hoodie","6.71 ~ 9.99","9.46~14.09","24.49~35.13","366"
"Men's High-Neck Knit Sweater","10.72 ~ 13.51","15.12~19.05","39.99~44.49","24868"
"Everyday Polarized Sunglasses","6.22 ~ 8.28","8.77~11.68","29.99","104281"
"Men's Cotton-Linen Wide-Leg Pants","8.18 ~ 11.07","11.54~15.61","39.40","111940"
"21 Heated Vest Zones Electric Heated Jackets Men Women Sportswear Heated Coat Graphene Heat Coat USB Heating Jacket For Camping","15.32 ~ 31.14","21.61~43.92","53.94~109.67","716"
