"title","usd_cost_range","cad_cost_range","cad_price_range","stock","shopify_product_id","handle","shopify_status","launch_tag","variant_count","risk_flags","gate_decision","reconciliation"
"Solar Fairy String Lights for Outdoor Decor","3.76 ~ 7.28","5.30~10.27","13.24~25.66","197","9327026503930","crystal-waterdrop-led-string-lights-solar-battery-usb-waterproof-outdoor-garden-decor","DRAFT","no","11","electrical","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Hand-Controlled Mini RC Drone","9.19 ~ 10.14","12.96~14.30","17.81~51.99","31","9327026569466","watch-wrist-hand-controlled-induction-rc-drone-mini-rechargeable-helicopter-with-led-lights","DRAFT","no","3","child_safety;electrical","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Women Fake Piercing Nose Ring Hoop Septum Piercing Nose Clip Rock HipHoop Stainless Steel Magnet Fashion Body Jewelry Wholesale","1.65 ~ 1.82","2.33~2.57","6.05~6.72","5696","9326921449722","women-fake-piercing-nose-ring-hoop-septum-piercing-nose-clip-rock-hiphoop-stainless-steel-magnet-fashion-body-jewelry-wholesale","DRAFT","no","5","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Adjustable Raised Pet Bowl Set","10.85 ~ 12.44","15.30~17.54","34.99","14","9326921187578","pet-supplies-cat-bowls-water-bowls-dog-bowls-tip-over-resistant-pet-bowls-height-adjustable","DRAFT","no","4","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"15cm Women's Rabbit Fur Keychain Bag Car Pendant Jewelry Decoration Fashionable Accessory for Bags And Gifts","2.68 ~ 3.72","3.78~5.25","9.81~13.64","61","9326921056506","15cm-womens-rabbit-fur-keychain-bag-car-pendant-jewelry-decoration-fashionable-accessory-for-bags-and-gifts","DRAFT","no","11","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Compact Manicure Set","2.68 ~ 5.35","3.78~7.54","9.46~18.81","235","9326920859898","compact-manicure-set","DRAFT","no","7","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"1:16 Remote-Control Monster Truck","16.77 ~ 25.26","23.65~35.62","92.99","30","9326920761594","rc-monster-truck-1-16-scale-remote-control-car-2-4ghz-alloy-shell-20km-h-fast-off-road-rc-car-led-led-headlight-toy-gift-for-kid","DRAFT","no","6","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"1:64 RC Construction Vehicle Set","15.87 ~ 18.72","22.38~26.40","56.99","70","9326920532218","1-64-bluetooth-remote-control-crane-and-forklift-two-in-one-desktop-mini-alloy-toy-car-with-trailer-christmas-gift-in-color-box","DRAFT","no","6","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Travel Pet Water Bottle","3.49 ~ 3.56","4.92~5.02","19.99","23","9326920433914","travel-pet-water-bottle","ACTIVE","yes","3","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Pet Supplies Duck Goose Shoes Pet Cole Foot Poultry Boots Pet Duck Boots with Protective Soles Protective Shoe Set Pet Products","6.42 ~ 6.86","9.05~9.67","22.61~24.12","125","9326920270074","pet-supplies-duck-goose-shoes-pet-cole-foot-poultry-boots-pet-duck-boots-with-protective-soles-protective-shoe-set-pet-products","DRAFT","no","9","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"No-Drill Shower Shelf","12.63 ~ 23.58","17.81~33.25","44.48~83.05","9981","9326920335610","no-drill-shower-shelf","DRAFT","no","12","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"ZWN 2.4G Remote Control Excavator Dump Truck RC Model Car Toy Professional Alloy Plastic Simulation Construction Vehicle for Kid","12.4 ~ 33.94","17.49~47.86","44.58~119.62","17","9326920171770","zwn-2-4g-remote-control-excavator-dump-truck-rc-model-car-toy-professional-alloy-plastic-simulation-construction-vehicle-for-kid","DRAFT","no","6","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"1/2PCS Men Business Watches Fashion Men's Steel Band Quartz Watch with Bracelet（Box not Included）","2.86 ~ 4.21","4.03~5.94","10.51~15.44","129","9326920073466","1-2pcs-men-business-watches-fashion-mens-steel-band-quartz-watch-with-bracelet-box-not-included","DRAFT","no","4","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Nail Glue Phototherapy Pen UV Gel Brush Pen Acrylic Nail Art Painting Drawing Liner Brush Manicure Professionnel Brushes Tool","0.92 ~ 1.56","1.30~2.20","3.38~5.73","118","9326920007930","nail-glue-phototherapy-pen-uv-gel-brush-pen-acrylic-nail-art-painting-drawing-liner-brush-manicure-professionnel-brushes-tool","DRAFT","no","2","hygiene_beauty","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","4.39 ~ 14.69","6.19~20.72","16.10~53.97","140","9326919876858","300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","DRAFT","no","4","electrical","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Digital Watch & Jewellery Gift Set","13.05 ~ 13.43","18.40~18.94","36.99","1748","9326919385338","6-piece-set-of-fashion-electronic-watch-necklace-earrings-ring-set-for-teenagers-boys-and-girls-the-best-choice-for-frien-watch-for-women-women-watches","DRAFT","no","4","hygiene_beauty","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Everyday Carabiner Clip Set","2.07 ~ 2.08","2.92~2.93","14.99","47","9326919418106","4pcs-metal-carabiner-clip-keychain-hook-holder-key-ring-organizer-for-car-keys-daily-storage","ACTIVE","yes","2","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"2023 Fashion Men Watches Luxury Brand Fashion Mens Quartz Watch Luminous Hands Male Clock Big Dial Waterproof Man Wristwatch","1.71 ~ 3.16","2.41~4.46","6.05~11.15","86","9326919188730","2023-fashion-men-watches-luxury-brand-fashion-mens-quartz-watch-luminous-hands-male-clock-big-dial-waterproof-man-wristwatch","DRAFT","no","9","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"3PCS/Set Men Business Watches Casual Leather Band Analog Male's Quartz Watch Necklace Bracelet Set","3.22 ~ 3.56","4.54~5.02","11.60~12.80","268","9326919123194","3pcs-set-men-business-watches-casual-leather-band-analog-males-quartz-watch-necklace-bracelet-set","DRAFT","no","5","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
