"country","product_title","handle","variant_title","sku","current_storefront_price","supplier_cost_basis","shipping_cost_basis","shipping_evidence","minimum_price","recommended_action_price","price_change","price_action_required","quote_result","disposition","formula"
"CA","300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","100Pcs M4-M14","100006028:200169420#100Pcs M4-M14","16.10","6.44","3.03","VERIFIED_CANADA_DSERs_QUOTE","18.60","18.99","2.89","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","200Pcs M5-M14","100006028:200104129#200Pcs M5-M14","31.29","12.52","","VERIFIED_CANADA_DSERs_QUOTE","","31.29","0.00","no","FAIL_NO_SHIPPING","DISABLE_CA_VARIANT_NO_SHIPPING",""
"CA","300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","280Pcs M5-M20","100006028:200040020#280Pcs M5-M20","53.76","21.50","3.03","VERIFIED_CANADA_DSERs_QUOTE","47.26","53.76","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","300Pcs M5-M20","100006028:200169434#300Pcs M5-M20","53.97","21.59","3.03","VERIFIED_CANADA_DSERs_QUOTE","47.44","53.97","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Advanced Gray / L","14:173#Advanced Gray;5:361385","45.99","27.88","3.03","VERIFIED_CANADA_DSERs_QUOTE","59.41","59.99","14.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Advanced Gray / M","14:173#Advanced Gray;5:361386","45.99","27.37","3.03","VERIFIED_CANADA_DSERs_QUOTE","58.44","58.99","13.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Advanced Gray / S","14:173#Advanced Gray;5:100014064","45.99","26.79","3.03","VERIFIED_CANADA_DSERs_QUOTE","57.33","57.99","12.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Advanced Gray / XL","14:173#Advanced Gray;5:100014065","45.99","28.61","3.03","VERIFIED_CANADA_DSERs_QUOTE","60.80","60.99","15.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Advanced Gray / XXL","14:173#Advanced Gray;5:4182","45.99","29.24","3.03","VERIFIED_CANADA_DSERs_QUOTE","62.00","62.99","17.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Advanced Gray / XXXL","14:173#Advanced Gray;5:4183","45.99","29.86","3.03","VERIFIED_CANADA_DSERs_QUOTE","63.18","63.99","18.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
