priority,product,role,shopify_product_id,shopify_variant_id,customer_option,shopify_sku,shopify_status,available_for_sale,shopify_inventory,automation_owner,us_route_tag,supplier,supplier_product_url_or_id,mapped_supplier_sku,ship_from,quote_destination_zip,quote_timestamp,quote_currency,fx_to_gate_currency,item_cost,supplier_shipping,duty_tariff_brokerage_import_tax,automation_processing,packaging_handling,landed_supply_cost,shipping_service,tracking_available,dispatch_days,delivery_min_days,delivery_max_days,supplier_stock,shopify_admin_price_observed,shopify_admin_currency,us_checkout_price,gate_currency,market_adjustment_rate,promo_rate,net_merchandise_revenue,payment_percent_rate,payment_fixed_fee,payment_fee,return_refund_reserve,pre_ad_contribution,pre_ad_contribution_margin,max_landed_supply_cost,break_even_cac,initial_decision,sample_order_date,sample_cost,sample_delivery_date,actual_landed_charge,quality_result,final_decision,evidence_notes
1,24-Piece Drawer Organizer Tray Set,primary_hero,9340627648762,49941590704378,24PCS(6S14M4L),14:350853#24PCS(6S14M4L),ACTIVE,true,145,DSers,us-route-verified,,,14:350853#24PCS(6S14M4L),,,,,,,,,,,,,,,,,,69.76,,,,,,,,,,,,,,,US_LANDED_COST_REQUIRED,,,,,,,Live Aug 1 Shopify state; all landed-cost and delivery fields are missing.
2,Red 5-Piece Compression Packing Cube Set,travel_hero,9341753950458,49961853026554,5PCS Set Red,14:100018786#5PCS Set Red,ACTIVE,true,989,DSers,us-route-verified,,,14:100018786#5PCS Set Red,,,,,,,,,,,,,,,,,,71.45,,,,,,,,,,,,,,,US_LANDED_COST_REQUIRED,,,,,,,"Live Aug 1 Shopify state; validate zippers, seams, compression and exact contents."
3,Gray 8-Piece Travel Packing Organizer Set,supporting,9341753819386,49961852010746,8PCS Gray,14:200006154#8PCS Gray,ACTIVE,true,95,DSers,us-route-verified,,,14:200006154#8PCS Gray,,,,,,,,,,,,,,,,,,44.96,,,,,,,,,,,,,,,US_LANDED_COST_REQUIRED,,,,,,,Live Aug 1 Shopify state; verify exact eight-piece contents and dimensions.
4,Gray Travel Cable Organizer Pouch,supporting,9340654027002,49943280353530,Gray,14:175#Gray,ACTIVE,true,9916,DSers,us-route-verified,,,14:175#Gray,,,,,,,,,,,,,,,,,,40.73,,,,,,,,,,,,,,,US_LANDED_COST_REQUIRED,,,,,,,Live Aug 1 Shopify state; validate compartment dimensions and zipper quality.
5,White Small Wheeled Under-Sink Organizer Bin,home_backup_hero,9341750083834,49961827041530,white S,14:200003699#white S,ACTIVE,true,26,DSers,us-route-verified,,,14:200003699#white S,,,,,,,,,,,,,,,,,,29.00,,,,,,,,,,,,,,,US_LANDED_COST_AND_STOCK_RECHECK,,,,,,,Live Aug 1 Shopify state; inventory is only one unit above the 25-unit gate.
6,Black Double-Layer Cable Organizer Case,supporting,9341444063482,49960742781178,Double Layers 1,14:193#Double Layers,ACTIVE,true,65,DSers,us-route-verified,,,14:193#Double Layers,,,,,,,,,,,,,,,,,,29.00,,,,,,,,,,,,,,,CONTENT_AND_US_LANDED_COST_REQUIRED,,,,,,,Live Aug 1 Shopify state; customer-facing option name requires cleanup.
7,Silver Stainless Steel Tube Squeezer,add_on,9341753884922,49961852371194,Silver,14:350853,ACTIVE,true,404,DSers,us-route-verified,,,14:350853,,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,US_LANDED_COST_REQUIRED,,,,,,,"Live Aug 1 Shopify state; validate edge finish, rust and tube-width compatibility."
8,White Five-Slot Cable Organizer Strip,add_on,9341753852154,49961852469498,5 Holes-White,14:4#5 Holes-White,ACTIVE,true,489,DSers,us-route-verified,,,14:4#5 Holes-White,,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,US_LANDED_COST_REQUIRED,,,,,,,"Live Aug 1 Shopify state; validate adhesive retention, residue and surface compatibility."
9,White 5-Clip Toocki Cable Organizer,risk_hold,9341753917690,49961852862714,1Pcs 5-Clips White,14:10#1Pcs 5-Clips White,ACTIVE,true,67,DSers,us-route-verified,,,14:10#1Pcs 5-Clips White,,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,NO_GO_BRAND_REVIEW,,,,,,,Live Aug 1 Shopify state; Toocki branding requires rights/supplier authorization or removal before promotion.
10,50 kg Pocket Luggage Scale,risk_review,9341438427386,49960633106682,B,14:350850#B,ACTIVE,true,161,DSers,us-route-verified,,,14:350850#B,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,NO_GO_BATTERY_AND_ACCURACY_REVIEW,,,,,,,"Live Aug 1 Shopify state; confirm battery, transport, accuracy, instructions and claims before sourcing."
