id,handle,title,old_len,new_len,old_desc,new_desc
9257723199738,3280-feet-hunting-range-finder,"Hunting Laser Rangefinder - 1000 Yard, 6.5X Magnification",159,145,Hit every shot with plus or minus 1-yard accuracy up to 1000 yards. 6.5X rangefinder with 7 hunting ,"Hit every shot with plus or minus 1-yard accuracy up to 1000 yards. 6.5X rangefinder with 7 hunting modes, USB-C charging, and a rainproof build."
9257723298042,100-natural-fox-fur-hat-women-cap-thick-fur-cap-winter-warm-hat-female-fashion-for-women-hat-with-earmuffs-hat,Natural Fox Fur Winter Hat with Earmuffs (Women's),162,143,"Real fox fur hat that covers your ears when it actually matters. Windproof, warm past -20°C, and the","Real fox fur hat that covers your ears when it actually matters. Windproof, warm past -20°C, and the kind of thing people ask where you got it."
9257723363578,106-led-solar-outdoor-light-with-motion-sensor,"Solar Motion Sensor Outdoor Light - 106 LED, IP65 Waterproof",156,124,"Floods your yard with light the second something moves — no wiring, no electricity bill. 106 LEDs, I","Floods your yard with light the second something moves — no wiring, no electricity bill. 106 LEDs, IP65 waterproof, 4 modes."
9257723396346,100ft-expandable-garden-water-hose,Expandable Garden Water Hose - Non-Kink Retractable Hose,165,141,Expandable 100ft garden hose that stretches as you water and shrinks for storage—kink-free and light,Expandable 100ft garden hose that stretches as you water and shrinks for storage—kink-free and lightweight with a multi-pattern spray nozzle.
9257723429114,100g-white-shoes-cleaner-all-purpose-cleansing-cream,Waterless White Sneaker Cleaner & Cleansing Cream (100g),162,127,All-purpose white shoe cleaner cream lifts dirt and stains from sneakers and leather—no water needed,All-purpose white shoe cleaner cream lifts dirt and stains from sneakers and leather—no water needed for an easy wipe-on shine.
9257723461882,1080-rotating-universal-faucet-extender,1080 degrees Rotating Faucet Extender & Aerator Attachment,173,86,1080-degree rotating faucet extender with built-in aerator for kitchens and bathrooms. Full-range si,1080-degree rotating faucet extender with built-in aerator for kitchens and bathrooms.
9257723494650,20000mah-outdoor-portable-waist-fan,Rechargeable Portable Waist Fan & Power Bank (10000mAh),159,135,10000mAh portable waist fan keeps you cool hands-free outdoors—rechargeable with adjustable speeds a,10000mAh portable waist fan keeps you cool hands-free outdoors—rechargeable with adjustable speeds and all-day battery. Clip on and go.
9257723527418,1080p-full-hd-dash-cam,Dual-Channel Full HD 1080p Dash Cam & Rear Camera,167,128,Records crisp 1080P footage day and night. G-sensor locks the clip if you get hit. Loop recording so,Records crisp 1080P footage day and night. G-sensor locks the clip if you get hit. Loop recording so you never run out of space.
9257723625722,1080p-night-vision-trail-camera,"1080p HD Trail & Hunting Camera - 16MP, 0.6s Trigger",162,106,"1080p HD trail camera with 16MP resolution, 0.6s fast trigger, motion activation, and weatherproof d","1080p HD trail camera with 16MP resolution, 0.6s fast trigger, motion activation, and weatherproof design."
9257723658490,1080p-magnetic-wifi-mini-camera,Magnetic WiFi Mini Security Camera - 1080p HD,158,123,1080p magnetic WiFi mini camera mounts almost anywhere for flexible home monitoring with live phone ,1080p magnetic WiFi mini camera mounts almost anywhere for flexible home monitoring with live phone view and motion alerts.
