id,handle,title,productType,current_price,suggested_price,category_median,category_p90,overshoot_pct,rule
9257733456122,3d-night-vision-goggles-binoculars,3D Night Vision Goggles Binoculars,Sports & Outdoors,361.24,97.59,56.34,97.59,541.2,"cap@p75,floor@85%"
9257752068346,automatic-juicer-juicer-household-residue-for-fruits-and-vegetables-4-4-based-on-155-reviews,Automatic Juicer - Juicer Household Residue for Fruits and Vegetables,Sports & Outdoors,237.09,97.59,56.34,97.59,320.8,"cap@p75,floor@85%"
9257775890682,dance-mat-for-children,Dance Mat - For Children,Sports & Outdoors,266.38,97.59,56.34,97.59,372.8,"cap@p75,floor@85%"
9269947465978,14-in-1-outdoor-emergency-survival-and-safety-gear-kit,14 in 1 Outdoor Emergency Survival And Safety Gear Kit,Sports & Outdoors,423.05,97.59,56.34,97.59,650.9,"cap@p75,floor@85%"
9269948055802,1ft-x-2ft-gameday-teams-epoxy-resin-wood-compact-travel-cornhole-board-set,1ft x 2ft Gameday Teams Epoxy Resin Wood Compact Travel Cornhole Board Set,Sports & Outdoors,451.26,97.59,56.34,97.59,701.0,"cap@p75,floor@85%"
9269948088570,1ft-x-2ft-graphic-wood-travel-cornhole-set-natural-surf-beach-collection,1ft x 2ft Graphic Wood Travel Cornhole Set | Natural Surf Beach Collection,Sports & Outdoors,324.31,97.59,56.34,97.59,475.6,"cap@p75,floor@85%"
9269952708858,arlo-outdoor-bean-bag-sun-lounger-pool-and-patio-chaise-recliner,Arlo Outdoor Bean Bag Sun Lounger - Pool and Patio Chaise Recliner,Sports & Outdoors,549.99,97.59,56.34,97.59,876.2,"cap@p75,floor@85%"
9269953102074,avana-sleek-chaise-lounge-for-yoga,Avana Sleek Chaise Lounge for Yoga,Sports & Outdoors,648.7,97.59,56.34,97.59,1051.4,"cap@p75,floor@85%"
9269959426298,bio-bidet-ultimate-bb-600-advanced-bidet-seat-round-white,Bio Bidet Ultimate BB-600 Advanced Bidet Seat- Round White,Sports & Outdoors,562.68,97.59,56.34,97.59,898.7,"cap@p75,floor@85%"
9269959524602,bio-bidet-ultimate-bb-600-advanced-bidetseat-elongated-white,Bio Bidet Ultimate BB-600 Advanced Bidet Seat- Elongated White,Sports & Outdoors,562.68,97.59,56.34,97.59,898.7,"cap@p75,floor@85%"
9269974237434,my-1st-giant-piano-sing-along-and-dance-along-the-piano-touch-mat,Giant Piano Sing And Dance Along Touch Mat,Sports & Outdoors,282.03,97.59,56.34,97.59,400.6,"cap@p75,floor@85%"
9269980266746,lagio-ultimate-bundle,Lagio Ultimate Bundle,Sports & Outdoors,559.86,97.59,56.34,97.59,893.7,"cap@p75,floor@85%"
9269999075578,portable-social-pong,Portable Social Pong,Sports & Outdoors,324.34,97.59,56.34,97.59,475.7,"cap@p75,floor@85%"
9270001860858,rainpoint-ultimate-wi-fi-garden-water-management-bundle,RainPoint Ultimate Wi-Fi Garden Water Management Bundle,Sports & Outdoors,240.89,97.59,56.34,97.59,327.6,"cap@p75,floor@85%"
9270014542074,solo-stove-ranger,Solo Stove Ranger,Sports & Outdoors,352.54,97.59,56.34,97.59,525.7,"cap@p75,floor@85%"
